Vehicle_ID,Frame_ID,preceding,y,Pre_y,v,Pre_v,spacing,direction,delta_v,Lane_ID
11287,9220,11270,142.9056591,168.9604953,10.53205767,10.58541568,26.05483615,1,0.053358014,2
11287,9221,11270,143.9600997,170.0196005,10.57226705,10.60631777,26.05950076,1,0.034050727,2
11287,9222,11270,145.0185779,171.0808319,10.61374887,10.62694841,26.06225406,1,0.013199534,2
11287,9223,11270,146.0811868,172.1441715,10.65421274,10.65056506,26.06298466,1,-0.003647686,2
11287,9224,11270,147.1480538,173.2098724,10.69976641,10.67309588,26.06181865,1,-0.026670524,2
11287,9225,11270,148.2194417,174.2778896,10.74430211,10.69806981,26.05844784,1,-0.046232302,2
11287,9226,11270,149.2952573,175.348431,10.78985577,10.72358664,26.05317365,1,-0.066269127,2
11287,9227,11270,150.3757042,176.4214877,10.83642739,10.74964639,26.04578344,1,-0.086781,2
11287,9228,11270,151.4607908,177.4972948,10.88478044,10.77814924,26.03650397,1,-0.106631199,2
11287,9229,11270,152.5507801,178.5758977,10.93262451,10.80556627,26.02511754,1,-0.127058242,2
11287,9230,11270,153.6455957,179.6573686,10.9825045,10.83651222,26.01177287,1,-0.145992278,2
11287,9231,11270,154.7453649,180.7419248,11.03187551,10.86772963,25.99655987,1,-0.164145879,2
11287,9232,11270,155.850164,181.8297019,11.08226448,10.90193305,25.9795379,1,-0.180331426,2
11287,9233,11270,156.96001,182.920881,11.13341691,10.9353221,25.96087097,1,-0.198094809,2
11287,9234,11270,158.0749962,184.0154619,11.18711425,10.97142571,25.94046576,1,-0.215688533,2
11287,9235,11270,159.1953176,185.1137253,11.23928464,11.00834369,25.91840766,1,-0.230940951,2
11287,9236,11270,160.320898,186.215671,11.29196402,11.04553312,25.89477302,1,-0.246430893,2
11287,9237,11270,161.4518136,187.3214077,11.34667931,11.08462275,25.86959406,1,-0.262056563,2
11287,9238,11270,162.5881747,188.4310348,11.40063113,11.12316946,25.84286004,1,-0.277461675,2
11287,9239,11270,163.7299136,189.5446429,11.45636439,11.16551655,25.8147293,1,-0.290847835,2
11287,9240,11270,164.8772931,190.6624672,11.5131156,11.20623491,25.78517412,1,-0.306880688,2
11287,9241,11270,166.0302792,191.784381,11.56808538,11.24912491,25.75410177,1,-0.318960467,2
11287,9242,11270,167.1888466,192.9106467,11.62305516,11.29310074,25.72180007,1,-0.329954424,2
11287,9243,11270,168.3528341,194.0413638,11.67853392,11.34006258,25.68852972,1,-0.338471347,2
11287,9244,11270,169.5225471,195.1767857,11.73553963,11.38648151,25.65423868,1,-0.34905812,2
11287,9245,11270,170.6979176,196.3168943,11.79407226,11.43425771,25.61897671,1,-0.359814553,2
11287,9246,11270,171.8791408,197.4618162,11.85133245,11.48257683,25.5826754,1,-0.368755626,2
11287,9247,11270,173.0660386,198.6115515,11.90757469,11.5311674,25.54551287,1,-0.376407284,2
11287,9248,11270,174.2586279,199.7662357,11.96585284,11.58111525,25.50760787,1,-0.384737581,2
11287,9249,11270,175.4570274,200.9258691,12.02234956,11.63133456,25.46884165,1,-0.391014994,2
11287,9250,11270,176.6610506,202.0906234,12.08011873,11.68345406,25.42957272,1,-0.396664666,2
11287,9251,11270,177.8708841,203.26058,12.13661545,11.73503065,25.38969591,1,-0.401584801,2
11287,9252,11270,179.0862989,204.4356848,12.19311217,11.78823597,25.34938594,1,-0.404876202,2
11287,9253,11270,180.3073627,205.6161186,12.24909991,11.84035546,25.30875591,1,-0.408744446,2
11287,9254,11270,181.5340078,206.801791,12.30483316,11.89328933,25.2677832,1,-0.411543833,2
11287,9255,11270,182.7662256,207.9927743,12.36031192,11.94540883,25.22654868,1,-0.414903097,2
11287,9256,11270,184.0039569,209.1888786,12.41451824,11.99725687,25.18492171,1,-0.417261369,2
11287,9257,11270,185.2470828,210.3902396,12.46796108,12.048562,25.14315677,1,-0.419399083,2
11287,9258,11270,186.4956033,211.5966219,12.52318535,12.09932422,25.10101862,1,-0.423861136,2
11287,9259,11270,187.7495779,212.8081072,12.57586473,12.14954353,25.0585293,1,-0.426321204,2
11287,9260,11270,189.0088877,214.0246953,12.63032553,12.20084866,25.01580757,1,-0.429476876,2
11287,9261,11270,190.2734989,215.2462867,12.68224144,12.24998214,24.97278784,1,-0.432259297,2
11287,9262,11270,191.5433944,216.4728634,12.73542979,12.29965854,24.92946897,1,-0.435771256,2
11287,9263,11270,192.8185234,217.7042896,12.78556427,12.34743474,24.88576615,1,-0.438129527,2
11287,9264,11270,194.0986145,218.9405562,12.83671671,12.39521095,24.84194174,1,-0.441505758,2
11287,9265,11270,195.3838966,220.1815729,12.88736016,12.44325861,24.79767627,1,-0.444101553,2
11287,9266,11270,196.6742172,221.4273396,12.93927607,12.48967754,24.7531224,1,-0.449598531,2
11287,9267,11270,197.9695931,222.6777115,12.98788361,12.5352821,24.70811841,1,-0.45260151,2
11287,9268,11270,199.2700328,223.9326343,13.03903605,12.58115812,24.66260153,1,-0.457877931,2
11287,9269,11270,200.5754006,225.1921262,13.08917052,12.62594831,24.61672558,1,-0.463222215,2
